Hash,Git-User, Date/Time,ChangeMade
d346aa4,rutvik2611,Tue Oct 29 03:10:42 2019 -0300,Feature:try addind read csv
21b309a,rutvik2611,Tue Oct 29 02:29:57 2019 -0300,Fix:List readind in test file(except for mode)
c057587,rutvik2611,Tue Oct 29 02:05:13 2019 -0300,Feature:function sample mean(working)
36abb70,rutvik2611,Mon Oct 28 23:56:51 2019 -0300,Feature:function sample mean(half)
90a884f,rutvik2611,Mon Oct 28 23:03:00 2019 -0300,Feature:function sample mean
d51ccbc,rutvik2611,Mon Oct 28 22:57:52 2019 -0300,Fix:Updated ReadMe for z score
f8fd4ba,rutvik2611,Mon Oct 28 22:54:44 2019 -0300,Fix:Updated ReadMe for z score
f441ac6,rutvik2611,Mon Oct 28 22:51:33 2019 -0300,Feature: Calling the existing function to calculate and function of z score
1ee70a7,Chinedu Nnaji,Mon Oct 28 20:38:08 2019 -0400,fix: functions
c72ddec,Chinedu Nnaji,Mon Oct 28 19:02:42 2019 -0400,fix: intentional error2
ac2cf7e,Chinedu Nnaji,Mon Oct 28 19:01:20 2019 -0400,fix: intentional error
b39f859,rutvik2611,Mon Oct 28 14:56:03 2019 -0300,Fix:Adding csv file to root directory
bcaca9f,rutvik2611,Mon Oct 28 14:44:27 2019 -0300,Feature:Added uadd.csv and made a test for adding csv
e5294f0,Chinedu Nnaji,Sun Oct 27 16:00:47 2019 -0400,Feature: dependency set up
1df0e20,Chinedu Nnaji,Sun Oct 27 15:51:01 2019 -0400,fix: travis
3fe323a,Chinedu Nnaji,Sun Oct 27 15:49:40 2019 -0400,fix: travis
d0076ea,Chinedu Nnaji,Sun Oct 27 15:34:53 2019 -0400,fix : travis file
6afc336,Chinedu Nnaji,Sun Oct 27 01:16:49 2019 -0400,Update README.md
82c2554,Chinedu Nnaji,Sun Oct 27 00:50:42 2019 -0400,fix : import file py
6b7abb6,Chinedu Nnaji,Sun Oct 27 00:37:21 2019 -0400,fix: travis file
956e1d1,Chinedu Nnaji,Sun Oct 27 00:35:04 2019 -0400,fix: travis file
7a5d53c,Chinedu Nnaji,Sat Oct 26 23:56:16 2019 -0400,fix: calctest file location
cf3af05,Chinedu Nnaji,Sat Oct 26 23:54:16 2019 -0400,Merge branch 'master' of https://github.com/cen24/miniproject2
b58d4a2,Chinedu Nnaji,Sat Oct 26 23:51:54 2019 -0400,Feature: New stat functions (mean, mode and median)
9661271,Chinedu Nnaji,Sat Oct 26 23:50:25 2019 -0400,fix: link
ecd40f9,Chinedu Nnaji,Sat Oct 26 23:47:48 2019 -0400,Update README.md
90b80bf,Chinedu Nnaji,Sat Oct 26 23:44:39 2019 -0400,Task: updated read with a few completed tasks
859c9ef,Chinedu Nnaji,Sat Oct 26 23:38:33 2019 -0400,Feature: added travis CI
cc9422d,Chinedu Nnaji,Sat Oct 26 22:47:32 2019 -0400,Feature: added population mean calculation with CI checking for any errors
fd1cde7,Chinedu Nnaji,Sat Oct 26 22:42:31 2019 -0400,Task: added travisCI
12f1302,Chinedu Nnaji,Sat Oct 26 22:27:24 2019 -0400,Fix: imported statistics
b0f2794,Chinedu Nnaji,Sat Oct 26 03:36:52 2019 -0400,fix: link
c964811,Chinedu Nnaji,Sat Oct 26 03:34:20 2019 -0400,fix: terms link
e0848e6,Chinedu Nnaji,Sat Oct 26 03:33:22 2019 -0400,fix: link update
6f6556f,Chinedu Nnaji,Sat Oct 26 03:31:26 2019 -0400,Task: added terms link
ad0f1e8,Chinedu Nnaji,Fri Oct 25 20:58:46 2019 -0400,Fix: Lines of code for unit test
b1c529c,Chinedu Nnaji,Fri Oct 25 20:51:39 2019 -0400,Task: Seting up Calc. from Calculator Repo
6c0323f,Chinedu Nnaji,Fri Oct 25 18:10:49 2019 -0400,Task: Seting up Calc. from Calculator Repo
3204b03,Chinedu Nnaji,Fri Oct 25 18:09:46 2019 -0400,Task: Setting up Docker environment
df486b5,Chinedu Nnaji,Fri Oct 25 17:35:26 2019 -0400,Task: updated readme
122aca8,Chinedu Nnaji,Fri Oct 25 17:28:39 2019 -0400,Update README.md
7096744,Chinedu Nnaji,Fri Oct 25 17:28:15 2019 -0400,Update README.md
38bec9a,Chinedu Nnaji,Fri Oct 25 17:26:19 2019 -0400,Update README.md
9a44488,Chinedu Nnaji,Fri Oct 25 17:17:38 2019 -0400,Update README.md
1d889be,Chinedu Nnaji,Fri Oct 25 17:17:05 2019 -0400,Task: updated readme
8bbe5be,Chinedu Nnaji,Fri Oct 25 17:07:14 2019 -0400,Initial commit
